股票代號,淨有形資產收益率(Q1),本業資金占總資產比率,長期債務比率,營收年增率(當月),營業利益率,股東權益報酬率(Q1),淨有形資產收益率(Q2),要求報酬率(Q1),內在價值,內在價值(Q2),季度數量,內在價值(Q3),四季盈餘,毛利率,年化營收
2941,0.0917846224874011,0.7630855745954443,0.1039041750179211,-0.0586230482569932,0.0697377515755234,0.1212040443353106,0.1003441692148684,0.1170538443781497,472255.4200454261,536914.3578744256,9,645448.8751785548,41872.0,0.6370685098597276,930181.0
2945,0.0192914653217943,0.8667640294991503,0.2861410994934678,0.4091932312677329,0.0124891063677189,0.0527617693477738,0.0245384778097757,0.1351771336695514,-538381.5613474164,-282441.27576603973,18,-233075.9032478305,151809.0,0.2695902951809489,16130614.0
2947,0.020501305608763,0.9048926890300596,0.4840237089187281,0.1088789722785666,0.0508317787794433,0.0725738988233181,0.023472026942997,0.1348746735978092,-784931.9522085019,-723253.8723545121,19,-662439.58655338,63024.0,0.4130288967816041,2366960.0
2948,0.0299620935075068,0.920069504425978,0.147793461666881,-0.0520924116630735,0.0576085114396007,0.0591295440499277,0.0325414190432735,0.1325094766231233,260918.05783043,343066.0967752072,10,401127.8946686437,67067.0,0.4368383391394407,2129158.0
2949,0.0526449162144995,0.7105755356496681,0.0759115593887052,0.2617796635801536,0.0224179468394666,0.0774127512581802,0.0536102177826996,0.1268387709463751,1447072.325143553,1589521.642365724,11,1621100.40606322,105898.0,0.1236589833840532,6143697.0
3002,0.0079283053945036,0.367848944525494,0.1551194566018793,0.4916815490177648,-0.1317719410365745,0.0038232525989685,0.0306274236167549,0.1380179236513741,948571.3359507188,1071205.8218892894,33,1176944.115022793,33558.0,0.0843749017800081,764987.0
3003,0.1106125902412428,0.5837391191441862,0.049409507544148,0.5280006873442736,0.0886570890917137,0.0855390855778337,0.1245409154639559,0.1123468524396893,7472199.757644237,8021799.499456175,33,9361097.100189237,156904.0,0.2306835481518953,4926394.0
3004,0.0232061801712287,0.9716710848510964,0.2457918855336374,0.5616201695665634,0.1394028333524349,0.0544143390582457,0.0559196407911114,0.1341984549571928,-815554.1646596785,1085956.061332225,33,1432460.275666989,343943.0,0.252441270806238,4563851.0
3005,0.101768683388052,0.6379201417400886,0.0991293500066577,0.1506650535853492,0.1351082569702272,0.1337436881247174,0.134102064545812,0.114557829152987,39248431.413240194,48394224.91328735,33,55639331.27293234,5086611.0,0.3105560228222884,39961865.0
3006,-0.0151927013471904,0.6440969450327884,0.0652367839080726,2.968056658653291,0.3102772846743453,-0.0288014420250598,0.0761711843941784,0.1437981753367976,5208328.950165749,14616671.028812325,33,25537813.35056984,2385198.0,0.4752298779396992,25882733.0
3008,0.2799971655820806,0.3535559447608342,0.0009997326110056,0.4267433115160191,0.3739184547376528,0.1277065078606209,0.3094540738606719,0.08,408149371.5031828,433720734.65790606,33,533444256.5874112,20955298.0,0.4940510788706104,64429898.0
3010,0.0488528570517994,0.8389492422352676,0.1374556437794878,0.281306406798628,0.0382672137954841,0.1025293329860358,0.0507326168950275,0.1277867857370501,20820027.6341946,23954294.79185257,33,30291038.047167405,2432289.0,0.0813878075367711,84096057.0
