stockId,product,manager,asset,finance,investment,speculation,main,mainInvestment,mainSpeculation,total
1597.0,7,7,7,2,4,2,6,27,25,29
1598.0,0,1,0,2,0,10,10,3,13,13
1599.0,0,6,7,5,4,8,12,22,26,30
1603.0,7,4,4,6,7,6,13,28,27,34
1604.0,5,6,6,4,8,8,16,29,29,37
1605.0,3,5,5,2,5,9,14,20,24,29
1608.0,4,1,2,6,8,7,15,21,20,28
1609.0,4,5,4,1,10,8,18,24,22,32
1611.0,3,2,3,8,3,3,6,19,19,22
1612.0,6,3,5,8,8,7,15,30,29,37
1614.0,4,4,5,6,4,6,10,23,25,29
1615.0,7,9,8,7,8,6,14,39,37,45
1616.0,5,0,0,7,8,10,18,20,22,30
1617.0,0,4,5,5,3,9,12,17,23,26
1618.0,5,2,3,10,7,7,14,27,27,34
1626.0,1,0,0,8,0,10,10,9,19,19
1701.0,2,5,4,4,6,9,15,21,24,30
1702.0,4,5,5,1,6,9,15,21,24,30
1707.0,9,8,9,9,8,5,13,43,40,48
1708.0,0,3,3,3,0,7,7,9,16,16
1709.0,3,4,4,5,6,8,14,22,24,30
1710.0,0,0,0,2,7,9,16,9,11,18
1711.0,1,3,3,5,2,7,9,14,19,21
1712.0,5,7,5,5,8,9,17,30,31,39
1713.0,0,3,5,7,6,1,7,21,16,22
1714.0,3,2,2,4,7,10,17,18,21,28
1717.0,3,6,5,1,5,9,14,20,24,29
1718.0,1,0,0,8,0,10,10,9,19,19
1720.0,9,7,7,7,9,6,15,39,36,45
1721.0,0,0,0,3,0,8,8,3,11,11
1722.0,9,4,4,1,8,3,11,26,21,29
1723.0,9,9,8,5,7,4,11,38,35,42
1724.0,4,2,2,8,1,1,2,17,17,18
1725.0,2,4,8,9,6,10,16,29,33,39
1726.0,6,6,7,9,8,7,15,36,35,43
1727.0,1,2,2,5,4,6,10,14,16,20
1730.0,7,9,9,9,8,7,15,42,41,49
1731.0,8,4,5,4,6,5,11,27,26,32
1732.0,0,2,3,7,0,5,5,12,17,17
1733.0,5,5,6,7,5,6,11,28,29,34
