stockId,name,ReturnOfNetTangibleAssets_FirstQuartile,ONWR,LongDebtRatio,YoY,OperatingProfitMargin,ReturnOfEquity_FirstQuartile,GrossProfitRatio,AnnualizedReturn,SalesToPrice
1815,富喬,0,8,1,0,0,0,1,0,6
1817,凱撒衛,8,8,5,9,6,8,8,9,8
1903,士紙,0,6,2,1,0,0,9,1,1
1904,正隆,4,9,1,5,3,6,4,3,9
1905,華紙,0,9,6,5,0,0,1,0,8
1906,寶隆,5,1,7,6,0,2,2,2,10
1907,永豐餘,3,5,3,7,0,3,3,3,9
1909,榮成,1,10,1,6,0,1,2,0,10
2002,中鋼,1,9,2,4,1,1,1,0,8
2006,東和鋼鐵,4,10,8,8,6,5,3,9,8
2007,燁興,0,10,1,2,0,0,0,0,9
2008,高興昌,0,5,1,0,4,0,3,10,5
2009,第一銅,1,2,8,8,0,1,0,1,3
2010,春源,3,10,6,7,3,2,2,8,10
2012,春雨,4,5,1,4,4,5,3,4,9
2013,中鋼構,2,10,6,0,2,3,1,5,10
2014,中鴻,0,10,2,4,0,0,1,0,9
2015,豐興,8,9,9,8,5,8,2,7,8
2017,官田鋼,0,6,3,1,0,0,0,0,5
2020,美亞,6,8,4,7,5,7,2,10,8
2022,聚亨,0,8,8,7,2,0,2,0,10
2023,燁輝,0,9,1,5,2,0,2,0,10
2024,志聯,1,10,3,8,0,1,1,0,6
2025,千興,0,5,10,10,0,0,0,10,5
2027,大成鋼,3,8,2,0,6,3,5,7,9
2028,威致,6,10,3,7,3,8,1,5,9
2029,盛餘,2,5,10,7,4,1,2,7,9
2030,彰源,3,9,1,6,2,4,1,2,10
2031,新光鋼,3,6,3,8,4,3,2,9,8
2032,新鋼,2,9,6,2,0,1,1,0,9
2033,佳大,0,8,9,7,0,0,2,0,6
2034,允強,5,8,4,0,3,5,2,0,9
2035,唐榮,0,10,1,4,0,0,0,0,9
2038,海光,0,9,4,8,1,0,1,3,10
2049,上銀,5,8,4,5,7,6,8,3,4
2059,0,10,1,5,8,10,9,10,1,1
2061,風青,0,7,8,8,0,0,1,0,9
2062,橋椿,1,9,3,10,3,2,2,5,9
2063,世鎧,8,6,6,1,9,10,7,10,6
2064,晉椿,0,8,8,5,0,0,0,0,10
2065,世豐,8,6,5,1,7,8,5,10,7
2066,世德,6,4,2,1,7,8,8,10,7
2067,嘉鋼,0,10,1,3,0,0,3,0,10
2069,運錩,0,10,5,0,0,0,1,0,10
2070,精湛,0,3,5,8,6,0,10,6,5
2073,雄順,1,9,2,8,2,1,3,1,7
2101,南港,0,10,1,6,3,0,4,0,2
2102,泰豐,0,9,1,0,0,0,0,0,2
2103,台橡,3,6,4,4,2,3,2,3,10
2104,國際中橡,2,5,4,2,0,2,2,0,9
2105,正新,3,6,2,7,6,4,6,5,6
2106,建大,2,8,1,3,2,2,4,0,9
2107,厚生,7,2,9,1,8,4,7,9,3
2108,南帝,10,1,8,4,6,9,5,5,6
2109,華豐,2,4,7,6,4,1,4,9,9
2114,鑫永銓,10,2,5,4,10,9,9,7,2
2115,六暉-KY,7,7,4,9,4,7,5,8,8
2201,裕隆,0,10,6,3,7,0,8,2,8
2204,中華,0,8,9,8,4,0,3,2,5
2206,三陽工業,5,8,2,7,6,7,5,10,8
2207,和泰車,4,10,6,7,1,7,1,3,6
2208,台船,0,10,1,0,0,0,0,0,9
2211,長榮鋼,10,1,5,8,10,6,8,9,3
2221,大甲,7,9,5,1,6,7,4,9,8
2227,裕日車,9,8,6,6,1,9,3,3,5
2228,劍麟,6,6,5,5,6,5,6,8,6
2230,泰茂,0,3,3,10,8,0,7,1,1
2231,為升,7,7,2,3,8,7,9,4,2
2233,宇隆,8,6,5,7,8,8,7,8,5
2235,謚源,5,8,6,5,7,4,6,4,5
2236,百達-KY,4,5,3,3,4,3,7,4,5
2239,英利-KY,2,9,3,2,2,2,3,4,10
2241,艾姆勒,0,10,1,4,0,0,0,0,2
2243,宏旭-KY,0,10,5,0,0,0,1,0,9
2247,汎德永業,8,6,4,7,3,7,2,9,10
2250,IKKA-KY,4,5,4,6,3,5,4,5,9
2254,巨鎧精密-創,1,10,1,9,0,1,7,1,2
2258,0,1,1,8,10,0,1,4,1,1
2301,光寶科,7,2,8,0,6,8,5,7,6
2302,麗正,2,8,8,1,6,2,8,4,3
2303,聯電,5,4,3,0,10,4,8,10,5
2305,全友,0,3,4,10,0,0,7,0,2
2308,台達電,8,4,3,2,6,9,7,5,5
2312,金寶,1,8,3,0,2,1,1,4,10
2313,華通,7,8,3,4,4,9,3,7,7
2314,台揚,0,6,4,0,0,0,3,0,5
2316,楠梓電,4,9,3,4,0,5,0,3,7
2317,鴻海,5,4,5,0,2,6,1,10,10
2321,東訊,0,2,1,0,0,0,6,0,10
2323,中環,0,2,6,3,0,0,5,9,6
2324,仁寶,3,8,7,1,1,5,1,5,10
2327,國巨,9,1,3,4,9,10,8,8,5
2328,廣宇,7,4,9,0,4,5,2,9,9
2329,華泰,1,5,4,7,6,1,4,5,5
2330,台積電,10,5,3,2,10,10,10,6,2
2331,精英,1,2,8,0,2,1,3,5,10
2332,友訊,0,5,6,0,2,0,6,8,9
2337,旺宏,8,7,2,0,0,9,6,0,7
2338,光罩,6,4,1,7,6,5,6,6,5
2340,台亞,7,5,5,4,2,5,5,2,3
2342,茂矽,0,2,4,0,0,0,1,0,4
2344,華邦電,2,7,1,5,0,2,7,0,7
2345,智邦,10,4,7,0,7,10,5,3,3
2347,聯強,6,5,5,7,2,8,1,8,10
2348,海悅,7,7,1,10,10,10,9,10,5
2349,錸德,0,4,2,1,0,0,4,0,9
2351,順德,5,10,3,2,6,6,4,5,6
2352,佳世達,4,6,3,1,2,6,3,4,10
2353,宏碁,3,3,5,3,1,4,2,3,10
2354,鴻準,8,1,9,0,2,3,1,7,9
2355,敬鵬,2,6,7,3,3,1,3,5,8
2356,英業達,4,8,7,4,1,7,1,3,10
2357,華碩,3,4,7,6,2,3,3,3,9
2358,廷鑫,1,9,1,0,0,1,0,0,10
2359,所羅門,5,2,9,0,2,3,5,9,7
2360,致茂,8,7,6,1,10,9,10,5,3
2362,藍天,2,9,1,3,5,2,5,4,7
2363,矽統,0,1,10,8,0,0,6,2,1
2364,倫飛,0,6,9,5,4,0,8,4,3
2365,昆盈,3,3,6,8,2,2,8,2,2
2367,燿華,0,10,2,5,0,0,2,0,9
2368,金像電,4,7,5,8,8,6,6,3,3
2369,菱生,0,7,5,4,0,0,1,0,6
