stockId,ReturnOfNetTangibleAssets_FirstQuartile,ONWR,LongDebtRatio,YoY,OperatingProfitMargin,ReturnOfEquity_FirstQuartile,ReturnOfNetTangibleAssets_Median,ReturnOfRequest,IntrinsicValue_FirstQuartile,IntrinsicValue_Median,QuarterLength,IntrinsicValue_ThirdQuartile,Profit_4,GrossProfitRatio,revenue12,price,name,share,IntrinsicValuePerShare_FirstQuartile,IntrinsicValuePerShare_Median,IntrinsicValuePerShare_ThirdQuartile,AnnualizedReturn,SalesToPrice
1301,0.0579858032055404,0.7718269811945717,0.1606751392128343,0.2157168699684678,-0.0150619502775015,0.0626585519753205,0.1044454324106357,0.1255035491986149,226097518.1828822,383908331.7825704,23,545757321.3167688,2845729.0,0.0532348253584515,245225773.0,72.4,台塑,6365740781,35.51786444991942,60.3085084658854,85.73351320646067,0.006174560121673091,0.5320820354897665
1303,0.0420167392098874,0.7967258602957494,0.2138548807965865,0.0050825467815695,0.0056969033862834,0.0531439110427675,0.0670322032927868,0.1294958151975281,169988382.16691887,286624325.70955527,23,531230969.9985454,5507457.0,0.0734393592921805,340309750.0,61.0,南亞,7930821589,21.433893104176207,36.14055901939611,66.98309425285262,0.0113842152814401,0.7034388931902801
1304,0.0145297635743384,0.7666464215229628,0.1954205802789697,0.1103957907930975,0.0420037981967757,0.0185292519587066,0.0243644138585498,0.1363675591064154,8983253.169612236,12854403.776676789,23,26444718.34635173,652956.0,0.1180627254008105,64707331.0,18.1,台聚,1188763500,7.556804334598292,10.813255770955946,22.245567218670267,0.03034658881019801,3.007318665978073
1305,0.0412000689880916,0.8314799950084967,0.2329730484521342,-0.1637455000782595,0.0500358347737974,0.0525123062786309,0.0760605424095791,0.1296999827529771,4091218.925323503,7751910.190794202,23,16427727.086531172,328091.0,0.1378649341360195,16816364.0,20.35,華夏,581050494,7.0410729662394935,13.341198864541713,28.27246040777167,0.0277469996650719,1.4221775247590673
1307,0.0198947513365709,0.6640156368785943,0.1876073519186199,0.2647497768973221,0.0901069123830476,0.0270016380668096,0.0290868960422865,0.1350263121658572,3863652.793000553,4605788.566987561,23,5567213.39405876,679168.0,0.2415774839411132,10925086.0,26.1,三芳,397818126,9.712108474917889,11.577623707843722,13.994368356304511,0.065411203641604,1.0522036155237537
1308,0.0694063572940756,0.6897200316841476,0.046834112951262,0.2751485220486681,0.1606610616557811,0.0606127604712603,0.0861811087312353,0.1226484106764811,9755116.341352358,11224347.473002167,23,18944554.74604042,569623.0,0.1934960894949895,9634588.0,21.95,亞聚,593743919,16.429837896752183,18.90435777751884,31.906945300504916,0.04370728374697592,0.7392638139632867
1309,0.0247538056053767,0.699772346108592,0.0408912439819406,0.3673661130552391,-0.0322292091785112,0.0434203448476453,0.0816738971674905,0.1338115485986558,3692188.189025441,6155545.864642318,23,15322525.499191444,-202717.0,0.0274833774743093,17950881.0,16.6,台達化,397586848,9.286494781199204,15.482267322490301,38.53881378689731,-0.030714968393218876,2.7198544894874788
1310,-0.0537440863824423,0.7679601403434395,0.0324726367829644,0.5058210119370592,-0.0563199188168897,-0.0558504711367586,0.0202891681348957,0.1534360215956106,-711272.8363988823,2688092.99988711,23,6996632.975067372,-444305.0,-0.0360335001274965,12622916.0,14.2,台苯,527869764,-1.3474400030210525,5.0923412993344135,13.254468151480205,-0.059274250280874685,1.6840095930913621
1312,0.0545448027348706,0.8345576702650547,0.2942951897734116,-0.02334370675849,-0.0535090202288386,0.0449101100114059,0.0988379400545452,0.1263637993162823,16714617.342343835,37385639.19453629,23,60924418.49077119,-1314401.0,0.0393786747009668,17797285.0,14.25,國喬,1106620328,15.104202335187752,33.783618688898954,55.05449064077846,-0.0833516828968523,1.1286005227817886
1313,-0.0186684079263513,0.6542169244076493,0.1861048208477514,0.951998529541609,-0.0010407310012368,-0.0262184631691933,0.0007728054994891,0.1446671019815878,4816914.491436204,9289772.801780898,23,23530094.9946089,-504797.0,0.0327228502561944,72980151.0,14.8,聯成,1363577107,3.532557467200279,6.812796103785643,17.256152859868234,-0.02501355092448425,3.6162907535406306
1314,0.0079932855984127,0.9362249073348192,0.2670844384998388,1.5532283736327075,-0.1279721279844181,0.0093951832356734,0.0181339466048202,0.1380016786003968,-23938942.108306117,-17739574.782202363,23,-6824846.512096349,-2998342.0,-0.0523960614926816,25401444.0,9.39,中石化,3784850130,-6.324937919881683,-4.686995303088094,-1.8032012570326923,-0.0843658892964812,0.7147334801949766
1315,0.0391365592397611,0.40670272028006,0.0197189364272702,-0.3482380615156522,0.0233548406148031,0.0290818037501003,0.1121155358206361,0.1302158601900597,7609690.110187953,9886929.32344949,23,12360411.883311294,408806.0,0.1724147706300108,2599514.0,72.1,達新,99099000,76.78876790066452,99.7682047593769,124.72791736860407,0.057215371803696104,0.36382088330140283
1316,-0.0155325006964601,0.8291885063752218,0.0383158459753378,0.6696596058594162,-0.1882257162844548,-0.0319913208434749,-0.0008542139373697,0.143883125174115,256019.40927731828,1337811.8869328038,23,2299320.776536335,-118977.0,0.1678835127035671,2266594.0,13.7,上曜,279057960,0.9174417002020594,4.794028763532865,8.239581399277537,-0.03112060503396687,0.5928690137283602
1319,0.0260422706436475,0.8574786251444468,0.0601220276184358,0.5274561631857533,0.1464853787918059,0.0375499099432152,0.0545623742774996,0.1334894323390881,7268702.638830855,13257745.554806229,23,14394203.866854932,2566258.0,0.2865338625432997,21824289.0,85.0,東陽,591477068,12.289069233755745,22.414640012393903,24.336030330857955,0.05104385651048655,0.4340934840376104
1321,0.0048307864511163,0.8408762057779392,0.4405150366209429,0.0413588358888858,-0.0022547858078194,0.0084715843772903,0.0110843494546624,0.1387923033872209,-3089949.984172114,-2606543.3717441554,23,20992.809098830447,81179.0,0.0719635842115108,6322407.0,36.05,大洋,227228268,-13.598440068082173,-11.471034808680386,0.09238643274273625,0.00991005511776455,0.7718178574131292
1323,0.0470904241432388,0.7632516134713444,0.3570032938887122,0.1455772514968827,0.0616382365685007,0.0775433198879814,0.0689248735819255,0.1282273939641903,1005598.386966324,1739941.2613287456,23,2336945.4770814804,124142.0,0.1899828081602335,3667911.0,31.15,永裕,91274554,11.01729170833663,19.062719948527445,25.603471884195464,0.04366273814102417,1.2900632945947554
1324,0.0009241252705847,0.5881634238261684,0.0104844341989242,0.1750419300735389,0.0445921173235563,0.0011518290471306,0.0051070173371545,0.1397689686823538,487751.96810114325,505155.78453244816,23,570629.1094404286,43065.0,0.2110606668194317,968147.0,16.35,地球,75121882,6.492808155433902,6.724482548672678,7.596043845659092,0.035062286566894585,0.7882374910688329
1325,0.0255205708816882,0.4449982316148667,0.0209178501094801,0.2956534131395183,-0.1061282172898779,0.012327996840727,0.0550551560549692,0.1336198572795779,1865860.7049208337,2253166.978584117,23,7497880.820706303,33585.0,0.0134547812872063,531453.0,38.2,恆大,85281198,21.87892230267255,26.420442388533484,87.91950625161601,0.01030928859225679,0.1631353982498332
1326,0.0367969636352767,0.6751125941269628,0.1392982780899938,0.1019832837157918,-0.0138440094905681,0.0334322661166545,0.0721983187545929,0.1308007590911808,213617934.43406665,331485873.8884888,23,424258705.82983816,925476.0,0.0311784105765515,377767677.0,57.1,台化,5861186291,36.446194307470215,56.556106124368334,72.38444314273002,0.0027653081108136575,1.1287640319266345
1336,0.0396221199905023,0.7854178320364488,0.1267473142661252,0.1568398397937574,0.070571018553707,0.0484254509820728,0.0528276411261731,0.1300944700023744,909438.9327768072,1173800.3572522013,23,1752814.979884846,95572.0,0.1689657910708512,2686744.0,21.15,台翰,78818419,11.538406178596492,14.892462601314056,22.238646779819906,0.05733140480246371,1.6117148104527532
1337,-0.2942248410615697,0.5689842601119812,0.0131774099146819,0.9470673648083776,-0.5545897027797313,-0.2235830636988067,-0.1769054693221643,0.2135562102653924,-2341713.2377392147,-258203.81483424176,23,164281.89289819216,-419893.0,-0.2381815153421919,668081.0,7.15,再生-KY,268954729,-8.706718957669693,-0.9600270491404587,0.6108161529972287,-0.21835010644595768,0.3474112630230127
